data_hora,potencia_kw
2026-08-01 00:00,6.3
2026-08-01 01:00,5.9
2026-08-01 02:00,5.4
2026-08-01 03:00,5.2
2026-08-01 04:00,5.8
2026-08-01 05:00,7.3
2026-08-01 06:00,9.9
2026-08-01 07:00,11.2
2026-08-01 08:00,12.4
2026-08-01 09:00,15.8
2026-08-01 10:00,18.1
2026-08-01 11:00,17.3
2026-08-01 12:00,16.2
2026-08-01 13:00,16.7
2026-08-01 14:00,17.5
2026-08-01 15:00,18.2
2026-08-01 16:00,18.9
2026-08-01 17:00,20.4
2026-08-01 18:00,24.8
2026-08-01 19:00,25.6
2026-08-01 20:00,22.3
2026-08-01 21:00,16.1
2026-08-01 22:00,12.5
2026-08-01 23:00,8.9
2026-08-02 00:00,6.1
2026-08-02 01:00,5.6
2026-08-02 02:00,5.3
2026-08-02 03:00,5.1
2026-08-02 04:00,5.7
2026-08-02 05:00,6.8
2026-08-02 06:00,8.5
2026-08-02 07:00,10.1
2026-08-02 08:00,11.5
2026-08-02 09:00,14.2
2026-08-02 10:00,16.0
2026-08-02 11:00,15.8
2026-08-02 12:00,14.9
2026-08-02 13:00,15.2
2026-08-02 14:00,15.8
2026-08-02 15:00,16.5
2026-08-02 16:00,17.2
2026-08-02 17:00,19.0
2026-08-02 18:00,23.5
2026-08-02 19:00,24.1
2026-08-02 20:00,21.0
2026-08-02 21:00,15.3
2026-08-02 22:00,11.8
2026-08-02 23:00,8.2
2026-08-03 00:00,6.4
2026-08-03 01:00,5.8
2026-08-03 02:00,5.5
2026-08-03 03:00,5.3
2026-08-03 04:00,6.0
2026-08-03 05:00,7.4
2026-08-03 06:00,10.2
2026-08-03 07:00,12.0
2026-08-03 08:00,13.5
2026-08-03 09:00,16.5
2026-08-03 10:00,18.9
2026-08-03 11:00,18.0
2026-08-03 12:00,16.8
2026-08-03 13:00,17.1
2026-08-03 14:00,18.0
2026-08-03 15:00,18.7
2026-08-03 16:00,19.4
2026-08-03 17:00,21.0
2026-08-03 18:00,25.3
2026-08-03 19:00,26.1
2026-08-03 20:00,22.8
2026-08-03 21:00,16.9
2026-08-03 22:00,12.7
2026-08-03 23:00,9.1
2026-08-04 00:00,6.5
2026-08-04 01:00,6.0
2026-08-04 02:00,5.7
2026-08-04 03:00,5.5
2026-08-04 04:00,6.1
2026-08-04 05:00,7.6
2026-08-04 06:00,10.5
2026-08-04 07:00,12.3
2026-08-04 08:00,13.8
2026-08-04 09:00,16.9
2026-08-04 10:00,19.2
2026-08-04 11:00,18.4
2026-08-04 12:00,17.0
2026-08-04 13:00,17.4
2026-08-04 14:00,18.3
2026-08-04 15:00,19.0
2026-08-04 16:00,19.8
2026-08-04 17:00,21.5
2026-08-04 18:00,25.9
2026-08-04 19:00,26.5
2026-08-04 20:00,23.2
2026-08-04 21:00,17.2
2026-08-04 22:00,13.0
2026-08-04 23:00,9.3
2026-08-05 00:00,6.6
2026-08-05 01:00,6.1
2026-08-05 02:00,5.8
2026-08-05 03:00,5.6
2026-08-05 04:00,6.2
2026-08-05 05:00,7.8
2026-08-05 06:00,10.8
2026-08-05 07:00,12.7
2026-08-05 08:00,14.2
2026-08-05 09:00,17.5
2026-08-05 10:00,19.8
2026-08-05 11:00,19.0
2026-08-05 12:00,17.5
2026-08-05 13:00,18.0
2026-08-05 14:00,18.8
2026-08-05 15:00,19.6
2026-08-05 16:00,20.5
2026-08-05 17:00,22.4
2026-08-05 18:00,27.8
2026-08-05 19:00,27.2
2026-08-05 20:00,23.9
2026-08-05 21:00,17.8
2026-08-05 22:00,13.4
2026-08-05 23:00,9.6
2026-08-06 00:00,6.4
2026-08-06 01:00,5.9
2026-08-06 02:00,5.6
2026-08-06 03:00,5.4
2026-08-06 04:00,6.0
2026-08-06 05:00,7.5
2026-08-06 06:00,10.4
2026-08-06 07:00,12.2
2026-08-06 08:00,13.6
2026-08-06 09:00,16.8
2026-08-06 10:00,19.1
2026-08-06 11:00,18.3
2026-08-06 12:00,16.9
2026-08-06 13:00,17.3
2026-08-06 14:00,18.2
2026-08-06 15:00,18.9
2026-08-06 16:00,19.7
2026-08-06 17:00,21.3
2026-08-06 18:00,25.7
2026-08-06 19:00,26.3
2026-08-06 20:00,23.0
2026-08-06 21:00,17.1
2026-08-06 22:00,12.9
2026-08-06 23:00,9.2
2026-08-07 00:00,6.3
2026-08-07 01:00,5.8
2026-08-07 02:00,5.5
2026-08-07 03:00,5.3
2026-08-07 04:00,5.9
2026-08-07 05:00,7.3
2026-08-07 06:00,10.1
2026-08-07 07:00,11.8
2026-08-07 08:00,13.2
2026-08-07 09:00,16.3
2026-08-07 10:00,18.6
2026-08-07 11:00,17.8
2026-08-07 12:00,16.5
2026-08-07 13:00,16.9
2026-08-07 14:00,17.8
2026-08-07 15:00,18.5
2026-08-07 16:00,19.3
2026-08-07 17:00,20.9
2026-08-07 18:00,25.2
2026-08-07 19:00,25.9
2026-08-07 20:00,22.6
2026-08-07 21:00,16.7
2026-08-07 22:00,12.6
2026-08-07 23:00,9.0
