data_hora,potencia_kw
2007-05-01 00:00,0.3038
2007-05-01 01:00,0.2566
2007-05-01 02:00,0.1987
2007-05-01 03:00,0.2568
2007-05-01 04:00,0.1894
2007-05-01 05:00,0.3350
2007-05-01 06:00,0.6980
2007-05-01 07:00,0.6532
2007-05-01 08:00,0.5747
2007-05-01 09:00,1.3874
2007-05-01 10:00,1.5777
2007-05-01 11:00,2.2277
2007-05-01 12:00,1.1543
2007-05-01 13:00,1.8507
2007-05-01 14:00,0.9196
2007-05-01 15:00,1.5754
2007-05-01 16:00,0.3167
2007-05-01 17:00,0.2846
2007-05-01 18:00,1.8551
2007-05-01 19:00,1.9958
2007-05-01 20:00,2.4673
2007-05-01 21:00,3.4522
2007-05-01 22:00,2.1649
2007-05-01 23:00,1.0352
2007-05-02 00:00,0.3903
2007-05-02 01:00,0.4070
2007-05-02 02:00,0.4102
2007-05-02 03:00,0.3827
2007-05-02 04:00,0.4359
2007-05-02 05:00,0.3460
2007-05-02 06:00,1.3852
2007-05-02 07:00,1.7574
2007-05-02 08:00,1.2304
2007-05-02 09:00,0.2764
2007-05-02 10:00,0.1806
2007-05-02 11:00,0.2845
2007-05-02 12:00,0.6471
2007-05-02 13:00,0.2822
2007-05-02 14:00,0.2808
2007-05-02 15:00,0.5605
2007-05-02 16:00,0.6718
2007-05-02 17:00,0.2186
2007-05-02 18:00,0.2466
2007-05-02 19:00,0.6118
2007-05-02 20:00,1.0102
2007-05-02 21:00,1.8092
2007-05-02 22:00,1.2947
2007-05-02 23:00,1.6046
2007-05-03 00:00,2.2316
2007-05-03 01:00,0.5298
2007-05-03 02:00,0.2514
2007-05-03 03:00,0.2468
2007-05-03 04:00,0.8816
2007-05-03 05:00,0.2460
2007-05-03 06:00,0.6331
2007-05-03 07:00,0.9592
2007-05-03 08:00,1.1908
2007-05-03 09:00,1.1861
2007-05-03 10:00,0.2134
2007-05-03 11:00,0.1689
2007-05-03 12:00,0.2257
2007-05-03 13:00,0.1850
2007-05-03 14:00,0.2303
2007-05-03 15:00,0.3192
2007-05-03 16:00,0.2434
2007-05-03 17:00,0.2511
2007-05-03 18:00,0.7087
2007-05-03 19:00,0.6608
2007-05-03 20:00,1.2975
2007-05-03 21:00,2.3568
2007-05-03 22:00,1.7559
2007-05-03 23:00,1.1977
2007-05-04 00:00,0.1843
2007-05-04 01:00,0.2275
2007-05-04 02:00,0.1782
2007-05-04 03:00,0.2094
2007-05-04 04:00,0.1962
2007-05-04 05:00,0.1781
2007-05-04 06:00,1.2210
2007-05-04 07:00,1.3736
2007-05-04 08:00,0.5854
2007-05-04 09:00,0.2102
2007-05-04 10:00,0.1668
2007-05-04 11:00,0.2472
2007-05-04 12:00,0.1721
2007-05-04 13:00,0.3705
2007-05-04 14:00,0.3387
2007-05-04 15:00,0.2728
2007-05-04 16:00,0.6985
2007-05-04 17:00,0.3831
2007-05-04 18:00,0.2965
2007-05-04 19:00,1.1260
2007-05-04 20:00,3.1561
2007-05-04 21:00,2.2947
2007-05-04 22:00,1.4969
2007-05-04 23:00,1.0517
2007-05-05 00:00,0.6616
2007-05-05 01:00,0.1948
2007-05-05 02:00,0.2260
2007-05-05 03:00,0.1677
2007-05-05 04:00,0.2120
2007-05-05 05:00,0.1967
2007-05-05 06:00,0.1815
2007-05-05 07:00,1.0742
2007-05-05 08:00,1.5833
2007-05-05 09:00,1.7777
2007-05-05 10:00,0.5798
2007-05-05 11:00,0.3681
2007-05-05 12:00,0.4233
2007-05-05 13:00,0.4637
2007-05-05 14:00,3.2350
2007-05-05 15:00,1.1000
2007-05-05 16:00,1.9295
2007-05-05 17:00,1.4871
2007-05-05 18:00,1.7347
2007-05-05 19:00,1.4386
2007-05-05 20:00,1.3912
2007-05-05 21:00,1.8911
2007-05-05 22:00,2.0671
2007-05-05 23:00,1.6663
2007-05-06 00:00,1.0858
2007-05-06 01:00,0.6934
2007-05-06 02:00,0.6595
2007-05-06 03:00,1.2649
2007-05-06 04:00,0.7299
2007-05-06 05:00,0.7610
2007-05-06 06:00,1.5211
2007-05-06 07:00,0.8809
2007-05-06 08:00,2.9134
2007-05-06 09:00,2.8225
2007-05-06 10:00,0.3777
2007-05-06 11:00,0.4395
2007-05-06 12:00,1.1087
2007-05-06 13:00,1.5695
2007-05-06 14:00,1.4028
2007-05-06 15:00,1.4908
2007-05-06 16:00,0.9720
2007-05-06 17:00,0.5289
2007-05-06 18:00,1.2506
